device,tstamp,dstamp,CurrL1_A,CurrL2_A,CurrL3_A,ActPow_kW,AppPow_kVA,ReacPow_kvar,Energy_kWh,VolL1_V,VolL2_V,VolL3_V,THDUL1,THDUL2,THDUL3,THDIL1,THDIL2,THDIL3,cosphi
PaÃ§osConcelho,2025-05-16 00:00:34,00:59/ 16.05.2025 (UTC 2),15.02,12.76,11.08,7.94,9.33,\N,454165,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 00:00:34,00:59 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.11,0.12,408.25,350,406.2,\N,\N,\N,1
ParqueInterior,2025-05-16 00:00:34,00:59/ 16.05.2025 (UTC 2),2.46,1.06,1.08,0.27,1.1,\N,68058.5,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 00:00:34,00:59/ 16.05.2025 (UTC 2),75.04,65.69,73.09,50.24,51.31,\N,2321950,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueExterior,2025-05-16 00:00:34,00:59/ 16.05.2025 (UTC 2),0.52,0.55,1.53,0.31,0.62,\N,251074,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
InformÃ¡tica,2025-05-16 00:00:34,00:59/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 00:01:34,01:00/ 16.05.2025 (UTC 2),74.65,65.06,71.71,49.76,50.85,\N,2321950,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueExterior,2025-05-16 00:01:34,01:00/ 16.05.2025 (UTC 2),0.5,0.58,1.51,0.3,0.62,\N,251074,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
InformÃ¡tica,2025-05-16 00:01:34,01:00/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueInterior,2025-05-16 00:01:34,01:00/ 16.05.2025 (UTC 2),2.47,1.09,1.07,0.27,1.11,\N,68058.5,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
PaÃ§osConcelho,2025-05-16 00:01:34,01:00/ 16.05.2025 (UTC 2),15.08,12.68,9.29,7.65,8.91,\N,454165,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 00:01:34,01:00 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.12,389.87,418.33,422.3,\N,\N,\N,1
Master,2025-05-16 00:02:34,01:01 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.12,410.28,338.3,433.97,\N,\N,\N,1
InformÃ¡tica,2025-05-16 00:02:34,01:01/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueExterior,2025-05-16 00:02:34,01:01/ 16.05.2025 (UTC 2),0.5,0.55,1.53,0.31,0.62,\N,251074,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
PaÃ§osConcelho,2025-05-16 00:02:34,01:01/ 16.05.2025 (UTC 2),14.69,12.64,9.24,7.53,8.75,\N,454165,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueInterior,2025-05-16 00:02:34,01:01/ 16.05.2025 (UTC 2),2.39,1.06,1.06,0.28,1.08,\N,68058.5,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 00:02:34,01:01/ 16.05.2025 (UTC 2),103.29,98.15,102.79,68.37,72.79,\N,2321950,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 00:03:34,01:02 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.11,417.13,297.21,416.33,\N,\N,\N,1
ParqueInterior,2025-05-16 00:03:34,01:02/ 16.05.2025 (UTC 2),2.43,1.07,1.07,0.27,1.09,\N,68058.5,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueExterior,2025-05-16 00:03:34,01:02/ 16.05.2025 (UTC 2),0.5,0.56,1.51,0.31,0.62,\N,251074,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 00:03:34,01:02/ 16.05.2025 (UTC 2),77.32,65.6,76.65,51.28,52.61,\N,2321950,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
InformÃ¡tica,2025-05-16 00:03:34,01:02/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
PaÃ§osConcelho,2025-05-16 00:03:34,01:02/ 16.05.2025 (UTC 2),14.78,12.77,11.41,7.94,9.35,\N,454166,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 00:04:34,01:03 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.08,0.12,0.11,395.81,323.18,400,\N,\N,\N,1
InformÃ¡tica,2025-05-16 00:04:34,01:03/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 00:04:34,01:03/ 16.05.2025 (UTC 2),72.68,64.97,85.32,52.43,53.51,\N,2321950,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueExterior,2025-05-16 00:04:34,01:03/ 16.05.2025 (UTC 2),0.53,0.54,1.51,0.3,0.62,\N,251074,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueInterior,2025-05-16 00:04:34,01:03/ 16.05.2025 (UTC 2),2.42,1.05,1.08,0.27,1.09,\N,68058.5,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
PaÃ§osConcelho,2025-05-16 00:04:34,01:03/ 16.05.2025 (UTC 2),14.77,12.7,22.82,10.86,12.07,\N,454166,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueInterior,2025-05-16 00:05:34,01:04/ 16.05.2025 (UTC 2),2.48,1.08,1.06,0.26,1.11,\N,68058.5,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueExterior,2025-05-16 00:05:34,01:04/ 16.05.2025 (UTC 2),0.5,0.57,1.52,0.31,0.62,\N,251074,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
PaÃ§osConcelho,2025-05-16 00:05:34,01:04/ 16.05.2025 (UTC 2),14.22,12.84,11.4,7.77,9.22,\N,454166,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
InformÃ¡tica,2025-05-16 00:05:34,01:04/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 00:05:34,01:04 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.12,449.44,317.98,433.97,\N,\N,\N,1
TorreLidador,2025-05-16 00:05:34,01:04/ 16.05.2025 (UTC 2),74.37,71.14,79.54,52.6,53.92,\N,2321950,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 00:06:34,01:05 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.12,410.28,339.93,430.12,\N,\N,\N,1
InformÃ¡tica,2025-05-16 00:06:34,01:05/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
PaÃ§osConcelho,2025-05-16 00:06:34,01:05/ 16.05.2025 (UTC 2),14.28,12.64,9.5,7.43,8.73,\N,454166,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueInterior,2025-05-16 00:06:34,01:05/ 16.05.2025 (UTC 2),2.44,1.07,1.06,0.26,1.09,\N,68058.5,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 00:06:34,01:05/ 16.05.2025 (UTC 2),72.09,63.79,79,50.42,51.42,\N,2321950,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueExterior,2025-05-16 00:06:34,01:05/ 16.05.2025 (UTC 2),0.5,0.57,1.52,0.31,0.62,\N,251074,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 00:07:34,01:06 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.11,424.26,335,460.43,\N,\N,\N,1
InformÃ¡tica,2025-05-16 00:07:34,01:06/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueInterior,2025-05-16 00:07:34,01:06/ 16.05.2025 (UTC 2),2.41,1.08,1.06,0.27,1.09,\N,68058.5,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueExterior,2025-05-16 00:07:34,01:06/ 16.05.2025 (UTC 2),0.5,0.57,1.51,0.3,0.62,\N,251074,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
PaÃ§osConcelho,2025-05-16 00:07:34,01:06/ 16.05.2025 (UTC 2),14.36,15.39,10.35,8.11,9.62,\N,454166,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 00:07:34,01:06/ 16.05.2025 (UTC 2),72.28,65.44,74.02,49.63,50.8,\N,2321950,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
InformÃ¡tica,2025-05-16 00:08:34,01:07/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueExterior,2025-05-16 00:08:34,01:07/ 16.05.2025 (UTC 2),0.5,0.56,1.52,0.3,0.62,\N,251074,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 00:08:34,01:07 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.08,0.12,0.11,400,400,382.97,\N,\N,\N,1
PaÃ§osConcelho,2025-05-16 00:08:34,01:07/ 16.05.2025 (UTC 2),14.54,15.42,22.63,11.16,12.6,\N,454166,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueInterior,2025-05-16 00:08:34,01:07/ 16.05.2025 (UTC 2),2.32,1.08,1.06,0.27,1.07,\N,68058.5,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 00:08:34,01:07/ 16.05.2025 (UTC 2),71.97,65.69,87.3,52.79,53.94,\N,2321950,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 00:09:34,01:08 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.11,382.97,282.84,408.25,\N,\N,\N,1
ParqueInterior,2025-05-16 00:09:34,01:08/ 16.05.2025 (UTC 2),2.37,1.08,1.06,0.27,1.08,\N,68058.5,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 00:09:34,01:08/ 16.05.2025 (UTC 2),72.34,66.09,75.63,50.14,51.29,\N,2321950,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueExterior,2025-05-16 00:09:34,01:08/ 16.05.2025 (UTC 2),0.5,0.56,1.51,0.3,0.62,\N,251074,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
InformÃ¡tica,2025-05-16 00:09:34,01:08/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
PaÃ§osConcelho,2025-05-16 00:09:34,01:08/ 16.05.2025 (UTC 2),14.43,15.38,11.54,8.24,9.91,\N,454166,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
InformÃ¡tica,2025-05-16 00:10:34,01:09/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
PaÃ§osConcelho,2025-05-16 00:10:34,01:09/ 16.05.2025 (UTC 2),14.05,12.67,9.49,7.39,8.67,\N,454167,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueExterior,2025-05-16 00:10:34,01:09/ 16.05.2025 (UTC 2),0.5,0.58,1.5,0.3,0.62,\N,251074,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 00:10:34,01:09/ 16.05.2025 (UTC 2),71.14,64.07,79.44,50.41,51.42,\N,2321950,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 00:10:34,01:09 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.12,420.32,456.07,395.81,\N,\N,\N,1
ParqueInterior,2025-05-16 00:10:34,01:09/ 16.05.2025 (UTC 2),2.35,1.08,1.06,0.27,1.07,\N,68058.5,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 00:11:34,01:10 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.12,393.7,389.44,432.05,\N,\N,\N,1
InformÃ¡tica,2025-05-16 00:11:34,01:10/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueExterior,2025-05-16 00:11:34,01:10/ 16.05.2025 (UTC 2),0.5,0.58,1.5,0.3,0.61,\N,251074,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
PaÃ§osConcelho,2025-05-16 00:11:34,01:10/ 16.05.2025 (UTC 2),14.19,13.11,8.92,7.38,8.68,\N,454167,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 00:11:34,01:10/ 16.05.2025 (UTC 2),73.79,69.77,73.4,51.05,51.98,\N,2321960,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueInterior,2025-05-16 00:11:34,01:10/ 16.05.2025 (UTC 2),2.44,1.08,1.06,0.27,1.1,\N,68058.5,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
PaÃ§osConcelho,2025-05-16 00:12:34,01:11/ 16.05.2025 (UTC 2),14.18,13.06,9.11,7.41,8.69,\N,454167,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
InformÃ¡tica,2025-05-16 00:12:34,01:11/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueExterior,2025-05-16 00:12:34,01:11/ 16.05.2025 (UTC 2),0.5,0.56,1.52,0.31,0.62,\N,251074,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 00:12:34,01:11/ 16.05.2025 (UTC 2),73.92,68.81,73.2,50.8,51.69,\N,2321960,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 00:12:34,01:11 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.11,378.59,400,410.28,\N,\N,\N,1
ParqueInterior,2025-05-16 00:12:34,01:11/ 16.05.2025 (UTC 2),2.46,1.07,1.07,0.27,1.1,\N,68058.5,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueExterior,2025-05-16 00:13:34,01:12/ 16.05.2025 (UTC 2),0.52,0.55,1.53,0.31,0.62,\N,251074,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 00:13:34,01:12/ 16.05.2025 (UTC 2),72.91,69.06,74.04,51.1,51.99,\N,2321960,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
PaÃ§osConcelho,2025-05-16 00:13:34,01:12/ 16.05.2025 (UTC 2),14.14,13.15,11.06,7.76,9.19,\N,454167,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 00:13:34,01:12 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.13,0.11,406.2,395.81,319.72,\N,\N,\N,1
ParqueInterior,2025-05-16 00:13:34,01:12/ 16.05.2025 (UTC 2),2.46,1.05,1.08,0.27,1.09,\N,68058.5,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
InformÃ¡tica,2025-05-16 00:13:34,01:12/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 00:14:34,01:13 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.11,371.93,391.58,329.98,\N,\N,\N,1
PaÃ§osConcelho,2025-05-16 00:14:34,01:13/ 16.05.2025 (UTC 2),14.18,13.09,11,7.73,9.17,\N,454167,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 00:14:34,01:13/ 16.05.2025 (UTC 2),73.67,69.55,74.06,51.21,52.11,\N,2321960,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueExterior,2025-05-16 00:14:34,01:13/ 16.05.2025 (UTC 2),0.51,0.55,1.54,0.31,0.62,\N,251074,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
InformÃ¡tica,2025-05-16 00:14:34,01:13/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueInterior,2025-05-16 00:14:34,01:13/ 16.05.2025 (UTC 2),2.48,1.06,1.07,0.27,1.11,\N,68058.5,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 00:15:34,01:14/ 16.05.2025 (UTC 2),72.88,68.71,72.9,50.55,51.43,\N,2321960,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueInterior,2025-05-16 00:15:34,01:14/ 16.05.2025 (UTC 2),2.46,1.06,1.07,0.27,1.1,\N,68058.5,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueExterior,2025-05-16 00:15:34,01:14/ 16.05.2025 (UTC 2),0.51,0.55,1.53,0.31,0.62,\N,251074,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 00:15:34,01:14 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.12,382.97,354.34,406.2,\N,\N,\N,1
InformÃ¡tica,2025-05-16 00:15:34,01:14/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
PaÃ§osConcelho,2025-05-16 00:15:34,01:14/ 16.05.2025 (UTC 2),13.8,12.29,8.98,7.1,8.42,\N,454167,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 00:16:34,01:15 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.13,0.11,458.26,348.01,424.26,\N,\N,\N,1
InformÃ¡tica,2025-05-16 00:16:34,01:15/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueInterior,2025-05-16 00:16:34,01:15/ 16.05.2025 (UTC 2),2.45,1.05,1.07,0.27,1.1,\N,68058.5,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
PaÃ§osConcelho,2025-05-16 00:16:34,01:15/ 16.05.2025 (UTC 2),25.79,22.37,20.14,12.65,16.37,\N,454167,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 00:16:34,01:15/ 16.05.2025 (UTC 2),80.77,76.29,81.17,55.76,57.24,\N,2321960,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueExterior,2025-05-16 00:16:34,01:15/ 16.05.2025 (UTC 2),0.5,0.56,1.53,0.31,0.62,\N,251074,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueInterior,2025-05-16 00:17:34,01:16/ 16.05.2025 (UTC 2),2.48,1.07,1.06,0.27,1.11,\N,68058.5,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
InformÃ¡tica,2025-05-16 00:17:34,01:16/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueExterior,2025-05-16 00:17:34,01:16/ 16.05.2025 (UTC 2),0.5,0.57,1.52,0.31,0.62,\N,251074,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 00:17:34,01:16/ 16.05.2025 (UTC 2),72.88,68.49,72.64,50.41,51.3,\N,2321960,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
PaÃ§osConcelho,2025-05-16 00:17:34,01:16/ 16.05.2025 (UTC 2),13.78,12.3,9.1,7.12,8.43,\N,454168,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 00:17:34,01:16 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.08,0.12,0.11,404.15,408.25,416.33,\N,\N,\N,1
ParqueInterior,2025-05-16 00:18:34,01:17/ 16.05.2025 (UTC 2),2.48,1.08,1.06,0.27,1.11,\N,68058.5,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
InformÃ¡tica,2025-05-16 00:18:34,01:17/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueExterior,2025-05-16 00:18:34,01:17/ 16.05.2025 (UTC 2),0.5,0.57,1.5,0.3,0.62,\N,251074,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 00:18:34,01:17/ 16.05.2025 (UTC 2),73.33,69.41,74.42,51.14,52.06,\N,2321960,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 00:18:34,01:17 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.11,402.08,422.3,323.18,\N,\N,\N,1
PaÃ§osConcelho,2025-05-16 00:18:34,01:17/ 16.05.2025 (UTC 2),13.63,12.41,10.92,7.37,8.85,\N,454168,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueInterior,2025-05-16 00:19:34,01:18/ 16.05.2025 (UTC 2),2.47,1.09,1.06,0.27,1.11,\N,68058.5,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
InformÃ¡tica,2025-05-16 00:19:34,01:18/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 00:19:34,01:18 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.11,397.91,376.39,385.14,\N,\N,\N,1
ParqueExterior,2025-05-16 00:19:34,01:18/ 16.05.2025 (UTC 2),0.5,0.57,1.5,0.3,0.62,\N,251074,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
PaÃ§osConcelho,2025-05-16 00:19:34,01:18/ 16.05.2025 (UTC 2),13.65,12.28,12.64,7.64,9.26,\N,454168,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 00:19:34,01:18/ 16.05.2025 (UTC 2),75.25,69.93,78.34,52.64,53.62,\N,2321960,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
InformÃ¡tica,2025-05-16 00:20:34,01:19/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 00:20:34,01:19/ 16.05.2025 (UTC 2),73.45,69.22,76.58,51.61,52.61,\N,2321960,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueExterior,2025-05-16 00:20:34,01:19/ 16.05.2025 (UTC 2),0.5,0.57,1.5,0.3,0.62,\N,251074,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueInterior,2025-05-16 00:20:34,01:19/ 16.05.2025 (UTC 2),2.46,1.08,1.06,0.27,1.11,\N,68058.5,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 00:20:34,01:19 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.12,409.88,414.33,406.2,\N,\N,\N,1
PaÃ§osConcelho,2025-05-16 00:20:34,01:19/ 16.05.2025 (UTC 2),13.67,12.33,10.58,7.3,8.79,\N,454168,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 00:21:34,01:20 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.13,0.12,400,341.57,402.49,\N,\N,\N,1
TorreLidador,2025-05-16 00:21:34,01:20/ 16.05.2025 (UTC 2),73.91,71.28,88.48,54.97,55.99,\N,2321960,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueInterior,2025-05-16 00:21:34,01:20/ 16.05.2025 (UTC 2),2.45,1.07,1.06,0.27,1.1,\N,68058.5,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
PaÃ§osConcelho,2025-05-16 00:21:34,01:20/ 16.05.2025 (UTC 2),13.57,12.32,21.92,10.19,11.45,\N,454168,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
InformÃ¡tica,2025-05-16 00:21:34,01:20/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueExterior,2025-05-16 00:21:34,01:20/ 16.05.2025 (UTC 2),0.51,0.55,1.5,0.3,0.62,\N,251074,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
PaÃ§osConcelho,2025-05-16 00:22:34,01:21/ 16.05.2025 (UTC 2),13.64,12.32,12.67,7.66,9.25,\N,454168,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 00:22:34,01:21/ 16.05.2025 (UTC 2),73.63,71.4,77.99,52.35,53.43,\N,2321960,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 00:22:34,01:21 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.11,426.61,404.15,408.25,\N,\N,\N,1
ParqueExterior,2025-05-16 00:22:34,01:21/ 16.05.2025 (UTC 2),0.5,0.57,1.51,0.3,0.62,\N,251074,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
InformÃ¡tica,2025-05-16 00:22:34,01:21/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueInterior,2025-05-16 00:22:34,01:21/ 16.05.2025 (UTC 2),2.45,1.08,1.06,0.27,1.1,\N,68058.5,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 00:23:34,01:22 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.11,421.9,404.15,422.3,\N,\N,\N,1
PaÃ§osConcelho,2025-05-16 00:23:34,01:22/ 16.05.2025 (UTC 2),13.89,12.3,18.24,9.25,10.66,\N,454168,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueExterior,2025-05-16 00:23:34,01:22/ 16.05.2025 (UTC 2),0.5,0.57,1.51,0.3,0.62,\N,251074,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 00:23:34,01:22/ 16.05.2025 (UTC 2),74.63,70.9,80.8,53.17,54.25,\N,2321970,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueInterior,2025-05-16 00:23:34,01:22/ 16.05.2025 (UTC 2),2.47,1.08,1.06,0.27,1.11,\N,68058.5,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
InformÃ¡tica,2025-05-16 00:23:34,01:22/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 00:24:34,01:23 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.12,378.59,418.33,404.15,\N,\N,\N,1
ParqueExterior,2025-05-16 00:24:34,01:23/ 16.05.2025 (UTC 2),0.49,0.58,1.5,0.3,0.61,\N,251074,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
